54.6851;87.7746;3.3233
49.8332;87.764;3.63
44.9638;87.773;3.1114
35.2949;82.7468;3.502
40.1153;82.7664;5.4918
44.9987;82.7802;6.6757
49.823;82.7774;7.1075
54.6632;82.7756;6.8398
59.5401;82.7798;5.8295
64.3978;82.7737;4.0322
69.3586;72.7429;6.1164
64.4314;72.7786;8.542
59.5603;72.7816;10.1361
54.6885;72.7755;11.0349
49.814;72.7888;11.2698
44.9655;72.7765;10.8795
40.0703;72.789;9.8149
35.1878;72.8186;8.0236
30.3506;72.7979;5.4293
30.3451;67.7573;6.5813
35.2405;67.7548;9.1262
40.1246;67.7518;10.851
45.0034;67.7508;11.8736
49.8659;67.7561;12.251
54.7278;67.7592;12.0095
59.5754;67.7692;11.1405
64.467;67.7713;9.5763
69.3;67.7922;7.2647
74.2056;67.7781;3.9553
74.2259;62.7611;4.3517
69.3258;62.7637;7.6231
64.4194;62.7856;9.944
59.5979;62.7453;11.4658
54.7314;62.7443;12.3328
49.8314;62.7666;12.5719
44.9772;62.7548;12.1939
40.1045;62.7573;11.1784
35.2281;62.7623;9.4717
30.3512;62.7638;6.9644
74.2242;57.7401;3.9642
69.3505;57.7403;7.2533
64.4544;57.7436;9.5973
59.5928;57.7497;11.1502
54.7065;57.7526;12.0267
49.7984;57.7663;12.2649
44.9607;57.7666;11.8811
40.103;57.7652;10.8595
35.2132;57.7556;9.1264
30.3402;57.7548;6.5905
30.3804;52.7608;5.4923
35.2208;52.745;8.0797
40.1053;52.7485;9.8588
44.9712;52.7514;10.9135
49.8592;52.7613;11.3111
54.7115;52.7559;11.064
59.5853;52.7535;10.1667
64.4571;52.75;8.5645
69.3189;52.7546;6.1678
30.3815;47.7523;3.5244
35.2638;47.7601;6.2999
40.1134;47.7535;8.1506
44.9953;47.7513;9.2553
49.8426;47.7515;9.6623
54.7269;47.7581;9.4063
59.5681;47.7534;8.4711
64.42;47.7682;6.8083
69.304;47.7447;4.25
64.4041;42.757;4.1178
59.5572;42.7405;5.9161
54.6844;42.7615;6.9414
49.8255;42.7519;7.2072
45.0145;42.7559;6.7723
40.1225;42.7591;5.5874
35.2821;42.7649;3.585
45.0196;37.7316;3.2531
49.8597;37.7542;3.7557
54.6965;37.7563;3.4527
